"Ano";"Estado";"Município";"Controle";"Frequenta_Curso_Bin2";"Instrucao_Responsavel_UD";"Idade_Responsavel_UD";"Idade_Responsavel_UD_Quad";"N_Hab_UD";"Renda_Domiciliar_Per_Capita_SM";"Ocupacao_Responsavel_UD_NOVA";"Composicao_Familiar_NOVA";"Idade";"Sexo";"Raca_Nova";"Regional"
2000;31;6200;3882361;"1 Frequenta";"1 Fundamental completo e médio incompleto";28;784;4;0,9925;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;5113602;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";26;676;4;0,945;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4394954;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";35;1225;5;2,65;"1 Empregador";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2488834;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";37;1369;5;1,092;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;2739175;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";38;1444;3;0,88;"4 Conta Própria";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1989380;"1 Frequenta";"1 Fundamental completo e médio incompleto";28;784;4;0,6525;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;2889378;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";40;1600;5;0,264;"3 Empregado sem CLT";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1804296;"1 Frequenta";"1 Fundamental completo e médio incompleto";34;1156;4;0,9025;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;4394954;"1 Frequenta";"0 Sem instrucao e fundamental incompleto";35;1225;5;2,65;"1 Empregador";"1 Casal com crianças";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;1417975;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";35;1225;5;0,43;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;515917;"0 Não frequenta";"0 Sem instrucao e fundamental incompleto";25;625;5;0,994;"3 Empregado sem CLT";"1 Casal com crianças";"5 anos";"Feminino";"0 Preto, pardo, indígena ou ignorado";"4 Noroeste"
2000;31;6200;799768;"0 Não frequenta";"1 Fundamental completo e médio incompleto";36;1296;4;1,0775;"2 Empregado com CLT ou RP";"1 Casal com crianças";"5 anos";"Masculino";"1 Branco ou Amarelo";"4 Noroeste"
2000;31;6200;4356602;"1 Frequenta";"2 Médio completo e superior incompleto";30;900;4;1,075;"4 Conta Própria";"3 Outros";"4 anos";"Feminino";"1 Branco ou Amarelo";"4 Noroeste"
